id_frame;id_object;x_coord;y_coord;width;height;obj_class;obj_proba(%)
529;1;1145;572;86;61;vine_snake;30
530;0;1084;546;196;154;golfcart;29
530;1;1131;568;87;57;vine_snake;13
531;0;1070;542;210;158;sports_car;30
531;1;1117;563;86;58;vine_snake;18
532;0;1056;538;224;162;sports_car;40
532;1;1103;559;87;57;vine_snake;17
533;0;1042;534;238;166;sports_car;36
533;1;1089;555;86;58;vine_snake;26
534;0;1242;631;38;21;analog_clock;13
534;1;1031;530;249;176;sports_car;55
535;0;1228;627;41;21;web_site;17
535;1;1018;525;262;195;sports_car;49
535;2;1062;547;87;60;vine_snake;22
536;0;1214;622;42;22;vine_snake;21
536;1;1004;523;276;197;sports_car;54
536;2;1049;543;86;59;vine_snake;21
537;0;1201;618;42;22;vine_snake;14
537;1;992;518;288;202;sports_car;47
538;0;1187;614;42;21;vine_snake;18
538;1;1219;570;61;26;vine_snake;33
538;2;978;514;302;206;sports_car;38
538;3;1022;535;84;57;vine_snake;29
539;0;1172;609;44;23;vine_snake;16
539;1;1238;529;42;37;vine_snake;29
539;2;966;510;314;210;convertible;20
539;3;1151;561;116;40;carton;13
540;0;1158;604;44;23;vine_snake;16
540;1;1228;526;52;40;vine_snake;35
540;2;953;507;327;213;golfcart;22
540;3;1117;556;137;40;rule;13
542;0;1145;600;43;22;vine_snake;24
542;1;1213;522;67;42;rule;29
542;2;941;503;339;214;minivan;26
542;3;1103;552;138;40;rule;17
543;0;1130;595;45;22;vine_snake;18
543;1;1200;518;80;48;vine_snake;33
543;2;928;499;352;214;minivan;21
543;3;1089;548;139;40;vine_snake;28
544;0;1117;591;44;22;vine_snake;23
544;1;916;495;364;214;sports_car;36
544;2;1075;543;140;40;rule;40
545;0;1104;586;43;22;web_site;23
545;1;904;491;376;215;sports_car;45
545;2;1061;539;140;39;rule;20
546;0;1090;582;44;22;vine_snake;20
546;1;892;487;380;215;sports_car;37
546;2;1048;534;141;40;rule;43
547;0;863;480;397;222;sports_car;67
547;1;987;552;213;71;lighter;16
547;2;1064;573;56;27;lycaenid;16
547;3;1034;530;79;30;digital_clock;61
547;4;921;506;66;43;lycaenid;19
548;0;1050;568;43;22;web_site;15
548;1;858;476;378;214;sports_car;61
548;2;1007;522;142;40;rule;26
